id,name,name_scientific,food_frequency
1,Angelica,Angelica keiskei,1
2,Savoy cabbage,Brassica oleracea var. sabauda,1
3,Silver linden,Tilia argentea,1
4,Kiwi,Actinidia chinensis,1
5,Allium,Allium,1
6,Garden onion,Allium cepa,1
7,Leek,Allium porrum,1
8,Garlic,Allium sativum,1
9,Chives,Allium schoenoprasum,1
10,Lemon verbena,Aloysia triphylla,1
11,Cashew nut,Anacardium occidentale,1
12,Pineapple,Ananas comosus,1
13,Dill,Anethum graveolens,1
14,Custard apple,Annona reticulata,1
15,Wild celery,Apium graveolens,1
16,Peanut,Arachis hypogaea,1
17,Burdock,Arctium lappa,1
18,Horseradish,Armoracia rusticana,1
19,Tarragon,Artemisia dracunculus,1
20,Mugwort,Artemisia vulgaris,1
21,Asparagus,Asparagus officinalis,1
22,Oat,Avena sativa,1
23,Star fruit,Averrhoa carambola,1
24,Brazil nut,Bertholletia excelsa,1
25,Common beet,Beta vulgaris,1
26,Borage,Borago officinalis,1
27,Chinese mustard,Brassica juncea,1
28,Swede,Brassica napus,1
29,Rape,Brassica napus var. napus,1
30,Common cabbage,Brassica oleracea,1
31,Cauliflower,Brassica oleracea var. botrytis,1
32,Brussel sprouts,Brassica oleracea var. gemmifera,1
33,Kohlrabi,Brassica oleracea var. gongylodes,1
34,Broccoli,Brassica oleracea var. italica,1
35,Chinese cabbage,Brassica rapa,1
36,Turnip,Brassica rapa var. rapa,1
37,Pigeon pea,Cajanus cajan,1
38,Tea,Camellia sinensis,1
39,Capers,Capparis spinosa,1
40,Pepper,Capsicum annuum,1
41,Papaya,Carica papaya,1
42,Safflower,Carthamus tinctorius,1
43,Caraway,Carum carvi,1
44,Pecan nut,Carya illinoinensis,1
45,Chestnut,Castanea,1
46,Roman camomile,Chamaemelum nobile,1
47,Chickpea,Cicer arietinum,1
48,Endive,Cichorium endivia,1
49,Chicory,Cichorium intybus,1
50,Chinese cinnamon,Cinnamomum aromaticum,1
51,Ceylon cinnamon,Cinnamomum verum,1
52,Watermelon,Citrullus lanatus,1
53,Lime,Citrus aurantiifolia,1
54,Lemon,Citrus limon,1
55,Pummelo,Citrus maxima,1
56,"Mandarin orange (Clementine, Tangerine)",Citrus reticulata,1
57,Sweet orange,Citrus sinensis,1
58,Coffee,Coffea,1
59,Arabica coffee,Coffea arabica,1
60,Robusta coffee,Coffea canephora,1
61,Coriander,Coriandrum sativum,1
62,Common hazelnut,Corylus avellana,1
63,Saffron,Crocus sativus,1
64,Muskmelon,Cucumis melo,1
65,Cucumber,Cucumis sativus,1
66,Cucurbita,Cucurbita,1
67,Cumin,Cuminum cyminum,1
68,Turmeric,Curcuma longa,1
69,Quince,Cydonia oblonga,1
70,Lemon grass,Cymbopogon citratus,1
71,Globe artichoke,Cynara scolymus,1
72,Wild carrot,Daucus carota,1
73,Japanese persimmon,Diospyros kaki,1
74,Cardamom,Elettaria cardamomum,1
75,Black crowberry,Empetrum nigrum,1
76,Loquat,Eriobotrya japonica,1
77,Rocket salad (ssp.),Eruca vesicaria ssp. sativa,1
78,Wax apple,Eugenia javanica,1
79,Common buckwheat,Fagopyrum esculentum,1
80,Tartary buckwheat,Fagopyrum tataricum,1
81,Fig,Ficus carica,1
82,Fennel,Foeniculum vulgare,1
83,Strawberry,Fragaria X ananassa,1
84,Black huckleberry,Gaylussacia baccata,1
85,Soy bean,Glycine max,1
86,Sunflower,Helianthus annuus,1
87,Sea-buckthornberry,Hippophae rhamnoides,1
88,Barley,Hordeum vulgare,1
89,Hyssop,Hyssopus officinalis,1
90,Star anise,Illicium verum,1
91,Swamp cabbage,Ipomoea aquatica,1
92,Sweet potato,Ipomoea batatas,1
93,Black walnut,Juglans nigra,1
94,Common walnut,Juglans regia,1
95,Lettuce,Lactuca sativa,1
96,Grass pea,Lathyrus sativus,1
97,Sweet bay,Laurus nobilis,1
98,Lentils,Lens culinaris,1
99,Garden cress,Lepidium sativum,1
100,Lovage,Levisticum officinale,1
101,Flaxseed,Linum usitatissimum,1
102,Mexican oregano,Lippia graveolens,1
103,Lichee,Litchi chinensis,1
104,Lupine,Lupinus,1
105,Apple,Malus pumila,1
106,Mango,Mangifera indica,1
107,German camomile,Matricaria recutita,1
108,Lemon balm,Melissa officinalis,1
109,Mentha,Mentha,1
110,Orange mint,Mentha aquatica,1
111,Cornmint,Mentha arvensis,1
112,Spearmint,Mentha spicata,1
113,Peppermint,Mentha X piperita,1
114,Medlar,Mespilus germanica,1
115,Bitter gourd,Momordica charantia,1
116,Mulberry,Morus,1
117,Black mulberry,Morus nigra,1
118,Nutmeg,Myristica fragrans,1
119,Sweet basil,Ocimum basilicum,1
120,Evening primrose,Oenothera biennis,1
121,Olive,Olea europaea,1
122,Sweet marjoram,Origanum majorana,1
123,Pot marjoram,Origanum onites,1
124,Common oregano,Origanum vulgare,1
125,Rice,Oryza sativa,1
126,Millet,Panicum miliaceum,1
127,Poppy,Papaver,1
128,Passion fruit,Passiflora edulis,1
129,Parsnip,Pastinaca sativa,1
130,Avocado,Persea americana,1
131,Parsley,Petroselinum crispum,1
132,Scarlet bean,Phaseolus coccineus,1
133,Lima bean,Phaseolus lunatus,1
134,Common bean,Phaseolus vulgaris,1
135,Date,Phoenix dactylifera,1
136,Black chokeberry,Photinia melanocarpa,1
137,Anise,Pimpinella anisum,1
138,Pine nut,Pinus,1
139,Pepper (Spice),Piper nigrum,1
140,Pistachio,Pistacia vera,1
141,Common pea,Pisum sativum,1
142,Purslane,Portulaca oleracea,1
143,"Prunus (Cherry, Plum)",Prunus,1
144,Apricot,Prunus armeniaca,1
145,Sweet cherry,Prunus avium,1
146,Sour cherry,Prunus cerasus,1
147,European plum,Prunus domestica,1
148,Almond,Prunus dulcis,1
149,Peach,Prunus persica,1
150,Guava,Psidium guajava,1
151,Pomegranate,Punica granatum,1
152,Pear,Pyrus communis,1
153,Radish,Raphanus sativus,1
154,Garden rhubarb,Rheum rhabarbarum,1
155,Blackcurrant,Ribes nigrum,1
156,Redcurrant,Ribes rubrum,1
157,Gooseberry,Ribes uva-crispa,1
158,Watercress,Rorippa nasturtium-aquaticum,1
159,Rosemary,Rosmarinus officinalis,1
160,"Rubus (Blackberry, Raspberry)",Rubus,1
161,Cloudberry,Rubus chamaemorus,1
162,Red raspberry,Rubus idaeus,1
163,Black raspberry,Rubus occidentalis,1
164,Sorrel,Rumex acetosa,1
165,Common sage,Salvia officinalis,1
166,Black elderberry,Sambucus nigra,1
167,Summer savory,Satureja hortensis,1
168,Winter savory,Satureja montana,1
169,Rye,Secale cereale,1
170,Sesame,Sesamum orientale,1
171,Garden tomato,Solanum lycopersicum,1
172,Cherry tomato,Solanum lycopersicum var. cerasiforme,1
173,Garden tomato (var.),Solanum lycopersicum var. lycopersicum,1
174,Eggplant,Solanum melongena,1
175,Potato,Solanum tuberosum,1
176,Rowanberry,Sorbus aucuparia,1
177,Sorghum,Sorghum bicolor,1
178,Spinach,Spinacia oleracea,1
179,Cloves,Syzygium aromaticum,1
180,Tamarind,Tamarindus indica,1
181,Dandelion,Taraxacum officinale,1
182,Cocoa bean,Theobroma cacao,1
183,Common thyme,Thymus vulgaris,1
184,Linden,Tilia,1
185,Small-leaf linden,Tilia cordata,1
186,Fenugreek,Trigonella foenum-graecum,1
187,Common wheat,Triticum aestivum,1
188,"Vaccinium (Blueberry, Cranberry, Huckleberry)",Vaccinium,1
189,Lowbush blueberry,Vaccinium angustifolium,1
190,Sparkleberry,Vaccinium arboreum,1
191,Highbush blueberry,Vaccinium corymbosum,1
192,American cranberry,Vaccinium macrocarpon,1
193,Bilberry,Vaccinium myrtillus,1
194,Lingonberry,Vaccinium vitis-idaea,1
195,Vanilla,Vanilla,1
196,Common verbena,Verbena officinalis,1
197,Broad bean,Vicia faba,1
198,Adzuki bean,Vigna angularis,1
199,Gram bean,Vigna mungo,1
200,Mung bean,Vigna radiata,1
201,Climbing bean,Vigna umbellata,1
202,Cowpea,Vigna unguiculata,1
203,Muscadine grape,Vitis rotundifolia,1
204,Common grape,Vitis vinifera,1
205,Corn,Zea mays,1
206,Ginger,Zingiber officinale,1
207,Arctic blackberry,Rubus arcticus,1
208,Banana,Musa acuminata,1
209,Bayberry,Myrica,1
210,Elliott's blueberry,Vaccinium elliottii,1
211,Canada blueberry,Vaccinium myrtilloides,1
212,Bog bilberry,Vaccinium uliginosum,1
213,Buffalo currant,Ribes aureum var. villosum,1
214,Celeriac,Apium graveolens var. rapaceum,1
215,Celery stalks,Apium graveolens var. dulce,1
216,Chinese chives,Allium tuberosum,1
217,European cranberry,Vaccinium oxycoccos,1
218,Deerberry,Vaccinium stamineum,1
219,Ginseng,Panax,1
220,Cascade huckleberry,Vaccinium deliciosum,1
221,Oval-leaf huckleberry,Vaccinium ovalifolium,1
222,Evergreen huckleberry,Vaccinium ovatum,1
223,Red huckleberry,Vaccinium parvifolium,1
224,Longan,Dimocarpus longan,1
225,Macadamia nut (M. tetraphylla),Macadamia tetraphylla,1
226,Garden onion (var.),Allium cepa var. cepa,1
227,Summer grape,Vitis aestivalis,1
228,Fox grape,Vitis labrusca,1
229,Nectarine,Prunus persica var. nucipersica,1
230,Peach (var.),Prunus persica var. persica,1
231,Pepper (C. baccatum),Capsicum baccatum var. baccatum,1
232,Pepper (C. chinense),Capsicum chinense,1
233,Pepper (Capsicum),Capsicum,1
234,Rambutan,Nephelium lappaceum,1
235,Red rice,Oryza rufipogon,1
236,Annual wild rice,Zizania aquatica,1
237,Swiss chard,Beta vulgaris ssp. cicla,1
238,Lemon thyme,Thymus pulegioides,1
239,Tronchuda cabbage,Brassica oleracea var. costata,1
240,Japanese walnut,Juglans ailanthifolia,1
241,Welsh onion,Allium fistulosum,1
242,Hard wheat,Triticum durum,1
243,Shallot,Allium ascalonicum,1
244,Rocket salad,Eruca vesicaria,1
245,Carrot,Daucus carota ssp. sativus,1
246,Triticale,X Triticosecale rimpaui,1
247,Black cabbage,Brassica oleracea var. viridis,1
248,Half-highbush blueberry,Vaccinium angustifolium X Vaccinium corymbosum,1
249,Celery leaves,Apium graveolens var. secalinum,1
250,Chicory leaves,Cichorium intybus var. foliosum,1
251,Komatsuna,Brassica rapa var. perviridis,1
252,Pak choy,Brassica rapa var. chinensis,1
253,Napa cabbage,Brassica rapa var. pekinensis,1
254,Chicory roots,Cichorium intybus var. sativum,1
255,Grapefruit/Pummelo hybrid,Citrus paradisi X Citrus maxima,1
256,Grapefruit,Citrus X paradisi,1
257,Jostaberry,Ribes × nidigrolaria,1
258,Kai-lan,Brassica oleracea var. alboglabra,1
259,Italian oregano,Origanum X majoricum,1
260,Oxheart cabbage,Brassica oleracea var. conica,1
261,Daikon radish,Raphanus sativus var. longipinnatus,1
262,Black radish,Raphanus sativus var. niger,1
263,Radish (var.),Raphanus sativus var. sativus,1
264,Red beetroot,Beta vulgaris var. rubra,1
265,Sweet rowanberry,Grataegosorbus mitschurinii,1
266,Pineappple sage,Salvia elegans,1
267,Skunk currant,Ribes glandulosum,1
268,Beer,NA,1
269,Other bread,NA,1
270,Breakfast cereal,NA,1
272,Other soy product,NA,1
273,Other cereal product,NA,1
274,Pasta,NA,1
275,Biscuit,NA,1
276,Sourdough,NA,1
277,Spirit,NA,1
278,Fortified wine,NA,1
279,Other alcoholic beverage,NA,1
280,Abalone,Haliotis,1
281,Abiyuch,Crateva religiosa,1
282,Acerola,Malpighia emarginata,1
283,Acorn,Quercus,1
284,Winter squash,Cucurbita maxima,1
285,Agar,Eucheuma,1
286,Red king crab,Paralithodes camtschaticus,1
287,Alfalfa,Medicago sativa,1
288,Allspice,Pimenta dioica,1
289,Amaranth,Amaranthus,1
290,Arrowhead,Sagittaria latifolia,1
291,Arrowroot,Maranta arundinacea,1
292,Asian pear,Pyrus pyrifolia,1
293,Atlantic herring,Clupea harengus harengus,1
294,Atlantic mackerel,Scomber scombrus,1
295,Painted comber,Serranus scriba,1
296,Atlantic pollock,Pollachius pollachius,1
297,Atlantic wolffish,Anarhichas lupus,1
298,Bamboo shoots,Phyllostachys edulis,1
299,Striped bass,Morone saxatilis,1
301,Beech nut,Fagus,1
302,Beluga whale,Delphinapterus leucas,1
303,Bison,Bison bison,1
305,Alaska blackfish,Dallia pectoralis,1
306,Blue crab,Callinectes sapidus,1
307,Blue mussel,Mytilus edulis,1
308,Northern bluefin tuna,Thunnus thynnus,1
309,Bluefish,Pomatomus saltatrix,1
310,Wild boar,Sus scrofa,1
311,Bowhead whale,Balaena mysticetus,1
312,Breadfruit,Artocarpus altilis,1
313,Breadnut tree seed,Brosimum alicastrum,1
314,Rapini,Brassica ruvo,1
316,Buffalo,Bubalus bubalis,1
317,Burbot,Lota lota,1
318,Giant butterbur,Petasites japonicus,1
319,American butterfish,Peprilus triacanthus,1
320,Butternut,Juglans cinerea,1
321,Butternut squash,Cucurbita moschata,1
322,Calabash,Lagenaria siceraria,1
323,Cardoon,Cynara cardunculus,1
325,Natal plum,Carissa macrocarpa,1
326,Carob,Ceratonia siliqua,1
327,Common carp,Cyprinus carpio,1
328,Cassava,Manihot esculenta,1
329,Channel catfish,Ictalurus punctatus,1
330,Chayote,Sechium edule,1
331,Cherimoya,Annona cherimola,1
332,Chervil,Anthriscus cerefolium,1
333,Chia,Salvia hispanica,1
334,Chicken,Gallus gallus,1
335,Chinese broccoli,Brassica alboglabra,1
336,Chinese chestnut,Castanea mollissima,1
337,Chinese water chestnut,Eleocharis dulcis,1
338,Garland chrysanthemum,Chrysanthemum coronarium,1
339,Cisco,Coregonus artedi,1
340,Nuttall cockle,Clinocardium nuttallii,1
341,Coconut,Cocos nucifera,1
342,Pacific cod,Gadus macrocephalus,1
343,Atlantic cod,Gadus morhua,1
344,Common octopus,Octopus vulgaris,1
345,Corn salad,Valerianella locusta,1
346,Cottonseed,Gossypium,1
347,Catjang pea,Vigna unguiculata ssp. cylindrica,1
348,Malus (Crab apple),Malus,1
349,Squashberry,Viburnum edule,1
350,Atlantic croaker,Micropogonias undulatus,1
351,Cusk,Brosme brosme,1
352,Cuttlefish,Sepiidae,1
353,Mule deer,Odocoileus,1
354,Devilfish,Myoxocephalus,1
355,Dock,Rumex,1
356,Dolphin fish,Coryphaena hippurus,1
357,Freshwater drum,Aplodinotus grunniens,1
358,Mallard duck,Anas platyrhynchos,1
359,Dungeness crab,Cancer magister,1
360,Durian,Durio zibethinus,1
361,Eastern oyster,Crassostrea virginica,1
362,Freshwater eel,Anguilla,1
363,Elderberry,Sambucus,1
364,Elk,Cervus canadensis,1
365,Emu,Dromaius novaehollandiae,1
366,Oregon yampah,Perideridia oregana,1
367,European anchovy,Engraulis encrasicolus,1
368,European chestnut,Castanea sativa,1
369,Turbot,Scophthalmus maximus,1
370,Fireweed,Chamerion angustifolium,1
371,Florida pompano,Trachinotus carolinus,1
372,Ginkgo nuts,Ginkgo biloba,1
373,Greylag goose,Anser anser,1
374,Grape,Vitis,1
375,Greenland halibut/turbot,Reinhardtius hippoglossoides,1
376,Groundcherry,Physalis,1
377,Grouper,Epinephelus,1
378,Guinea hen,Numida meleagris,1
379,Haddock,Melanogrammus aeglefinus,1
380,Hippoglossus (Common halibut),Hippoglossus,1
381,Hazelnut,Corylus,1
382,Hickory nut,Carya,1
383,Horse,Equus caballus,1
384,Horseradish tree,Moringa oleifera,1
385,Alaska blueberry,Vaccinium alaskaense,1
386,Hyacinth bean,Lablab purpureus,1
387,Irish moss,Chondrus crispus,1
388,Pacific jack mackerel,Trachurus symmetricus,1
389,Jackfruit,Artocarpus heterophyllus,1
390,Japanese chestnut,Castanea crenata,1
391,Java plum,Syzygium cumini,1
392,Jerusalem artichoke,Helianthus tuberosus,1
393,Jujube,Ziziphus zizyphus,1
394,Jute,Corchorus olitorius,1
395,Kale,Brassica napus var. pabularia,1
396,Kelp,Laminaria,1
397,King mackerel,Scomberomorus cavalla,1
398,Kumquat,Fortunella,1
399,Lambsquarters,Chenopodium album,1
400,Leather chiton,Katharina tunicata,1
401,Wild leek,Allium ampeloprasum,1
402,Common ling,Molva molva,1
403,Lingcod,Ophiodon elongatus,1
404,American lobster,Homarus americanus,1
405,Loganberry,Rubus loganobaccus,1
406,Lotus,Nelumbo,1
407,Sacred lotus,Nelumbo nucifera,1
408,White lupine,Lupinus albus,1
409,Malabar spinach,Basella alba,1
410,Mammee apple,Mammea americana,1
411,Purple mangosteen,Garcinia mangostana,1
412,Alpine sweetvetch,Hedysarum alpinum,1
413,Milkfish,Chanos chanos,1
414,Monkfish,Lophius piscatorius,1
416,Moth bean,Vigna aconitifolia,1
417,Mountain yam,Dioscorea pentaphylla,1
418,Striped mullet,Mugil cephalus,1
420,White mustard,Sinapis alba,1
421,Mustard spinach,Brassica perviridis,1
422,New Zealand spinach,Tetragonia tetragonioides,1
423,Nopal,Opuntia cochenillifera,1
424,Ocean pout,Zoarces americanus,1
425,North Pacific giant octopus,Enteroctopus dofleini,1
426,Ohelo berry,Vaccinium reticulatum,1
427,Okra,Abelmoschus esculentus,1
428,Tunicate,Tunicata,1
430,Ostrich,Struthio camelus,1
431,Spotted seal,Phoca largha,1
432,Pacific herring,Clupea pallasii,1
433,Pacific oyster,Crassostrea gigas,1
434,Pacific rockfish,Sebastes,1
435,Velvet duck,Melanitta fusca,1
436,Pepper (C. frutescens),Capsicum annuum var. annuum,1
437,Common persimmon,Diospyros virginiana,1
438,Pheasant,Phasianus colchicus,1
439,Northern pike,Esox lucius,1
440,Pili nut,Canarium ovatum,1
441,Colorado pinyon,Pinus edulis,1
442,Pitanga,Eugenia uniflora,1
443,Plains prickly pear,Opuntia macrorhiza,1
